protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	131328	0	io:AdjustableSlatsRollerShutterIOComponent	PositionableOrOrientableRollerShutter	1	AdjustableSlatsRollerShutter	1
1	131330	0	io:AdjustableSlatsRollerShutterIOComponent	PositionableOrOrientableRollerShutter	1	AdjustableSlatsRollerShutter	1
1	131584	0	io:ProjectionRollerShutterIOComponent	PositionableProjectionRollerShutter	1	RollerShutter	1
1	196608	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	196609	0	io:VerticalExteriorAwningVeluxIOComponent	PositionableScreen	1	ExteriorScreen	1
1	196610	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	262144	0	io:WindowOpenerGenericIOComponent	PositionableWindow	1	Window	1
1	262145	0	io:WindowOpenerVeluxIOComponent	PositionableTiltedWindow	1	Window	1
1	262401	0	io:WindowOpenerVeluxIOComponent	PositionableTiltedWindow	1	Window	1
1	327680	0	io:GarageOpenerIOComponent	PositionableGarageDoor	1	GarageDoor	1
1	327682	0	io:GarageOpenerIOComponent	PositionableGarageDoor	1	GarageDoor	1
1	342528	0	io:DiscreteGarageOpenerIOComponent	DiscretePositionableGarageDoor	1	GarageDoor	1
1	342530	0	io:DiscreteGarageOpenerIOComponent	DiscretePositionableGarageDoor	1	GarageDoor	1
1	393216	0	io:DimmableLightIOComponent	DimmerLight	1	Light	1
1	393218	0	io:DimmableLightIOComponent	DimmerLight	1	Light	1
1	393471	0	io:SwimmingPoolIOComponent	SwimmingPool	1	SwimmingPool	1
1	393472	0	io:DimmableRGBLightIOComponent	DimmerRGBColouredLight	1	Light	1
1	393474	0	io:DimmableRGBLightIOComponent	DimmerRGBColouredLight	1	Light	1
1	393730	0	io:DimmableColorTemperatureLightIOComponent	DimmerColorTemperatureLight	1	Light	1
1	408064	0	io:OnOffLightIOComponent	StatefulOnOffLight	1	Light	1
1	408066	0	io:OnOffLightIOComponent	StatefulOnOffLight	1	Light	1
1	2199023663618	0	io:OnOffLightMicroModuleSomfyIOComponent	StatefulOnOffLight	1	Light	1
1	458752	0	io:GateOpenerIOComponent	PositionableGateWithPedestrianPosition	1	Gate	1
1	458754	0	io:GateOpenerIOComponent	PositionableGateWithPedestrianPosition	1	Gate	1
1	473600	0	io:SlidingDiscreteGateOpenerIOComponent	SlidingDiscreteGateWithPedestrianPosition	1	Gate	1
1	473602	0	io:SlidingDiscreteGateOpenerIOComponent	SlidingDiscreteGateWithPedestrianPosition	1	Gate	1
1	524288	0	io:RollingDoorOpenerIOComponent	PositionableGarageDoor	1	GarageDoor	1
1	524290	0	io:RollingDoorOpenerIOComponent	PositionableGarageDoor	1	GarageDoor	1
1	589824	0	io:DoorLockIOComponent	DoorLock	1	DoorLock	1
1	589826	0	io:DoorLockIOComponent	DoorLock	1	DoorLock	1
1	590080	0	io:WindowLockIOComponent	WindowLock	1	DoorLock	1
1	590090	0	io:WindowLockIOComponent	WindowLock	1	DoorLock	1
