protocolType	typeId	name
1	4295491584	Relative Humidity Outside Sensor
1	4295557120	CO2 Sensor
1	4295622656	CO Sensor
1	4295688192	Light Outside Sensor
1	4295753728	Cumulated Gas Consumption Sensor
1	4295819264	Cumulated Water Consumption Sensor
1	4295884800	Cumulated Thermal Energy Consumption Sensor
1	4295950336	Cumulated Electrical Energy Consumption Sensor
1	4295950348	Multi-Energy Consumption Sensor - GMDE (Atlantic)
1	4303355904	Smoke sensor
1	4303355906	Smoke sensor - Fumix SOMFY
1	4303683584	Generic closure sensor
1	4303683586	Closure sensor - DO SOMFY
1	4303749120	Motion sensor
1	4303749122	Motion sensor - DM SOMFY
1	4303880192	Rain sensor
1	4303880194	Rain sensor - ondeis SOMFY
1	4311613440	Multi Type Sensor (single channel per type)
1	1103823241218	IDEOI somfy multi type sensor (open close tilt window and Intrusion)
1	2203334868994	IDEOI somfy multi type sensor (sliding window and Intrusion)
1	4311678976	Generic pulse sensor (virgin)
1	8656978944	Stack Master (V2)
1	21475622912	Beacon
1	25836847104	Remote Controller (1W)
1	25836847616	Keygo Remote Controller
1	25836847872	Izymo Remote Controller
1	1099511628043	KizOTherm Bridge v2
1	1099511758850	Roller Shutter With Low Speed Management SOMFY
1	1099511759106	GradHermetic SOMFY
1	1099511824386	Pergola Screen SOMFY
1	1099511889922	Window Opener Uno
1	1099511970306	Discrete Garage Door Opener SOMFY (Dexxo Smart io 800)
1	1099512020994	Dimmable Light - Somfy  - Light Receiver 2017
1	1099512021250	Dimmable RGB Light Somfy - Light Receiver 2017
1	1099512021506	Tunable White Receiver - Light Receiver 2017
1	1099512035842	On/Off Light - Somfy  - Light Receiver 2017
1	1099512101378	Discrete Gate Opener SOMFY (Axovia 3S)
1	1099512217602	Door Lock With Unknown Position
1	1099512283138	Vertical Blind Uno
1	1099512610818	Cyclic Standard Receiver SOMFY
1	1099512611330	Switch On/Off - micromodule SOMFY
1	1099512676354	Horizontal Awning Uno
1	1099512676610	Pergola Warema SOMFY
1	1099512741888	Exterior Venetian Blind with WP
