TypeNumber;TypeName;SubTypeName;TypeRegex;SubTypeRegex;Protocols
81;BFTMiniDaughterBoardZWave; ;`^09[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HUE, INTERNAL, ZWAVE
82;HomeSetTommaso; ;`^09[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;EN_OCEAN, INTERNAL
83;AtlanticModbusWifi; ;`^15[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, MODBUSLINK
84;AristonSystem; ;`^ARISTON-*`; ;ARISTON
85;RailDINPichet; ;`^10[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HUE, INTERNAL, ZIGBEE, ZWAVE
86;SiremModbusWifi; ;`^14[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, MODBUSLINK
87;VaillantV2System; ;`^VAILLANT_V2-*`; ;VAILLANT
88;WiserSystem; ;`^WISER-*`; ;WISER
89;SomfySAVSystem; ;`^SOMFY_SAV-*`; ;
90;SmartkizIO; ;`^16[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;EN_OCEAN, HUE, INTERNAL, IO, RTS, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
91;SauterSVCSystem; ;`^SAUTER_SVC-(.*)-(.*)`; ;SAUTER_SVC
92;NetatmoSystem; ;`^NETATMO-*`; ;NETATMO
93;MullerByNetatmoSystem; ;`^NETATMO_MULLER-.*`; ;NETATMO
94;EffiUpMiniEnOcean; ;`^09[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;EN_OCEAN, INTERNAL
0x5F;SmartLivingRailDIN; ;`^10[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
0x60;SmartLivingKizBoxV2; ;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
97;KizBoxV3; ;`^[0-9]{4}-[0-9]{4}-[0-9]{4}$`; ;HOMEKIT, HUE, INTERNAL, IO, OGP, OVP, RTS, UPNP_CONTROL, ZIGBEE
98;TahomaSwitch; ;`^20[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HOMEKIT, HUE, INTERNAL, IO, OGP, OVP, RTS, UPNP_CONTROL, ZIGBEE
98;TahomaSwitch;TAHOMA_SWITCH_MONSIEUR_STORE;`^20[0-9]{2}-[0-9]{4}-[0-9]{4}$`;0,3;HOMEKIT, HUE, INTERNAL, IO, OGP, OVP, RTS, UPNP_CONTROL, ZIGBEE
99;ConnectivityKit;ConnectivityKit;`^21[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;OGP
99;ConnectivityKit;ORANGE;`^21[0-9]{2}-[0-9]{4}-[0-9]{4}$`;0,1;OGP
99;ConnectivityKit;ConnectivityKit;`^21[0-9]{2}-[0-9]{4}-[0-9]{4}$`;1,2;OGP
99;ConnectivityKit;CRUZE;`^21[0-9]{2}-[0-9]{4}-[0-9]{4}$`;2,3;OGP
100;PurePassThoughGateway; ;`^17[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;
101;OGPGenericBox; ;``; ;OGP
102;OGPBrandtGateway; ;`^18[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;OGP
103;DeDietrichSmartTCSystem; ;`^DEDIETRICHSTC-*`; ;DEDIETRICHSTC
104;Wisniowski; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HUE, INTERNAL, IO, SONOS, UPNP_CONTROL
108;TaHomaV3RailDin; ;`^22[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;EN_OCEAN, INTERNAL, IO, OVP, RTD, RTS, ZIGBEE
110;TaHomaV3RailDinRts; ;`^22[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, RTD, RTS, ZIGBEE
0x70;AugustSystem; ;`^AUGUST-.*`; ;AUGUST
