TypeNumber;TypeName;SubTypeName;TypeRegex;SubTypeRegex;Protocols
29;TahomaV2;PREMIUM;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;2,3;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;SOMFY_BOX;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;3,4;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;HITACHI;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;4,5;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;MONDIAL_ASSISTANCE;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;5,6;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;MAROC_TELECOM;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;6,7;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;SERENITY;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;7,8;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;VERISURE;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;8,9;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;SERENITY_PREMIUM;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;9,10;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;MONSIEUR_STORE;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;10,11;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;MAISON_AVENIR_TRADITION;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;11,12;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;SHORT_CHANNEL;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;12,13;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;PRO;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;13,14;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;SECURITY_SHORT_CHANNEL;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;14,15;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;SECURITY_PRO;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;15,16;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;TRYBA;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;16,17;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;WHITE_LABEL;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;17,18;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;VELFAC;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;18,19;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;RATIONEL;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;19,20;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
30;KizBoxV23Head; ;`^13[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
0x1F;KizBoxV22Head; ;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
0x20;AtlanticCozyTouch; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
33;DomisHomeSecureAlarmSystem; ;`^50[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HOME_SECURE
34;Connexoon; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
34;Connexoon;TWO_UNIVERSES;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`;0,1;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
34;Connexoon;PRO;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`;1,2;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
34;Connexoon;PRO_WINDOW;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`;2,3;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
34;Connexoon;PRO_TERRACE;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`;3,4;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
34;Connexoon;PRO_ACCESS;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`;4,5;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
34;Connexoon;MARKILUX;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`;5,6;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
